               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              2.3358,              1.7319,              1.9038,             0.76777,             0.66383,             0.73619,             0.34663,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  41,              2.3688,              1.6971,              1.8495,             0.76249,              0.6856,             0.70685,             0.32806,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
                  42,               2.395,              1.7165,              1.8883,             0.77565,             0.66217,             0.73592,              0.3335,                   0,                   0,                   0,            0.008647,            0.008647,            0.008647
                  43,              2.3129,              1.6471,              1.8752,              0.7769,             0.71538,             0.74982,             0.34276,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  44,              2.3008,              1.6063,              1.8572,             0.81074,             0.72972,             0.78313,             0.36547,                   0,                   0,                   0,            0.008581,            0.008581,            0.008581
                  45,              2.2996,              1.5861,              1.8616,             0.86172,             0.67926,             0.79716,             0.37664,                   0,                   0,                   0,            0.008548,            0.008548,            0.008548
                  46,              2.3214,              1.5832,              1.8635,             0.75121,             0.69613,             0.73461,             0.33412,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  47,              2.2921,              1.5455,              1.7977,             0.79836,             0.72136,              0.7572,             0.33379,                   0,                   0,                   0,            0.008482,            0.008482,            0.008482
                  48,              2.2979,              1.6057,              1.8713,             0.73892,             0.71048,             0.77181,             0.34286,                   0,                   0,                   0,            0.008449,            0.008449,            0.008449
                  49,              2.3008,              1.5573,              1.8396,              0.7677,             0.70953,             0.74368,             0.34392,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  50,              2.2558,               1.539,              1.7865,             0.71518,             0.71657,             0.74342,             0.33642,                   0,                   0,                   0,            0.008383,            0.008383,            0.008383
                  51,              2.2854,               1.536,              1.8084,             0.77634,             0.71011,             0.73977,             0.34361,                   0,                   0,                   0,             0.00835,             0.00835,             0.00835
                  52,              2.3118,              1.5445,              1.8174,             0.83952,             0.66491,             0.75839,              0.3467,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  53,              2.2744,               1.532,               1.834,             0.85691,              0.6807,             0.76994,             0.36114,                   0,                   0,                   0,            0.008284,            0.008284,            0.008284
                  54,              2.2337,              1.4944,              1.8233,             0.73073,             0.70783,             0.73426,             0.35189,                   0,                   0,                   0,            0.008251,            0.008251,            0.008251
                  55,              2.2634,              1.5472,              1.8305,             0.76512,             0.65929,             0.71413,             0.32407,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  56,              2.2243,              1.5127,              1.8453,             0.80637,             0.69051,             0.75395,             0.36824,                   0,                   0,                   0,            0.008185,            0.008185,            0.008185
                  57,              2.2704,              1.5126,              1.8598,              0.7988,             0.62245,             0.67534,             0.32688,                   0,                   0,                   0,            0.008152,            0.008152,            0.008152
                  58,              2.2327,              1.5037,               1.795,             0.79127,             0.72362,             0.79134,             0.37814,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  59,              2.2462,              1.5057,              1.7867,             0.81818,             0.71869,             0.78128,              0.3622,                   0,                   0,                   0,            0.008086,            0.008086,            0.008086
                  60,              2.2229,              1.5527,              1.8245,              0.7926,             0.72626,             0.77584,             0.35395,                   0,                   0,                   0,            0.008053,            0.008053,            0.008053
                  61,              2.2009,              1.4927,              1.7894,             0.80787,             0.72517,             0.77789,             0.35804,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  62,              2.2562,              1.4706,              1.7918,             0.81234,             0.71546,             0.77467,             0.36354,                   0,                   0,                   0,            0.007987,            0.007987,            0.007987
                  63,              2.2114,              1.4691,              1.7934,             0.81592,             0.77051,             0.80776,             0.36328,                   0,                   0,                   0,            0.007954,            0.007954,            0.007954
                  64,              2.1672,              1.4664,              1.8033,             0.77771,              0.6533,             0.74837,             0.33837,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  65,              2.1918,               1.496,              1.7947,             0.85844,             0.72735,             0.80082,              0.3864,                   0,                   0,                   0,            0.007888,            0.007888,            0.007888
                  66,              2.1852,              1.4198,              1.7565,             0.79916,             0.68684,              0.7675,             0.37472,                   0,                   0,                   0,            0.007855,            0.007855,            0.007855
                  67,              2.1642,              1.4008,               1.758,              0.8036,             0.77572,             0.78427,             0.34987,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  68,              2.1965,              1.4432,              1.7923,             0.81296,             0.73475,             0.79018,              0.3493,                   0,                   0,                   0,            0.007789,            0.007789,            0.007789
                  69,              2.1708,              1.3843,              1.7671,             0.75679,             0.68034,             0.75252,             0.36574,                   0,                   0,                   0,            0.007756,            0.007756,            0.007756
                  70,              2.1598,              1.3577,              1.7675,             0.75492,             0.71999,             0.77305,             0.36132,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  71,              2.1482,              1.3572,              1.7869,             0.79182,             0.71814,             0.77242,             0.35536,                   0,                   0,                   0,             0.00769,             0.00769,             0.00769
                  72,              2.1666,              1.3609,               1.761,             0.79727,             0.74732,             0.79211,             0.37862,                   0,                   0,                   0,            0.007657,            0.007657,            0.007657
                  73,              2.1546,              1.3807,              1.7921,             0.80272,             0.70994,             0.79578,             0.38929,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  74,              2.1405,              1.3639,              1.7817,               0.853,             0.75857,             0.80259,             0.37243,                   0,                   0,                   0,            0.007591,            0.007591,            0.007591
                  75,              2.1528,              1.3482,               1.789,             0.87578,             0.73317,             0.81217,             0.36289,                   0,                   0,                   0,            0.007558,            0.007558,            0.007558
                  76,              2.1222,              1.2997,              1.7514,              0.7439,             0.73096,             0.77879,             0.36663,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  77,               2.103,              1.2879,              1.7354,             0.85391,             0.73679,             0.78123,             0.35213,                   0,                   0,                   0,            0.007492,            0.007492,            0.007492
                  78,              2.0831,              1.3012,                1.72,             0.80461,             0.77364,             0.82034,             0.37808,                   0,                   0,                   0,            0.007459,            0.007459,            0.007459
                  79,               2.094,              1.3215,              1.7098,             0.83904,             0.74205,             0.80499,             0.38433,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  80,              2.0565,              1.2417,              1.7006,             0.86572,              0.7471,             0.81046,             0.37101,                   0,                   0,                   0,            0.007393,            0.007393,            0.007393
                  81,              2.0847,              1.2437,              1.7302,              0.8046,             0.70003,             0.77045,             0.34951,                   0,                   0,                   0,             0.00736,             0.00736,             0.00736
                  82,              2.0975,              1.2901,              1.7548,             0.88407,             0.77271,             0.82902,             0.40457,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  83,              2.0672,               1.301,              1.7043,             0.86547,             0.77363,             0.82825,             0.40309,                   0,                   0,                   0,            0.007294,            0.007294,            0.007294
                  84,              2.0979,              1.3022,               1.769,              0.8094,              0.7259,             0.79298,             0.36403,                   0,                   0,                   0,            0.007261,            0.007261,            0.007261
                  85,              2.0731,               1.276,              1.7548,             0.83289,             0.77599,             0.80866,              0.3707,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  86,              2.0709,              1.3197,              1.7353,             0.81607,             0.77705,              0.8177,              0.3782,                   0,                   0,                   0,            0.007195,            0.007195,            0.007195
