               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  40,              2.2008,              1.7936,              1.8504,             0.70972,             0.75784,             0.68393,             0.35731,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  41,              2.1843,              1.8491,              1.8396,             0.69869,             0.63502,             0.64682,              0.3216,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
                  42,              2.1876,              1.8191,              1.8694,             0.78592,             0.75784,             0.77807,             0.37932,                   0,                   0,                   0,            0.008647,            0.008647,            0.008647
                  43,              2.2009,              1.8162,              1.8816,             0.57388,             0.70708,             0.59758,             0.30278,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  44,              2.2155,              1.9126,              1.8605,             0.75398,             0.70456,             0.72642,             0.38563,                   0,                   0,                   0,            0.008581,            0.008581,            0.008581
                  45,              2.1641,              1.8323,              1.8779,             0.60455,             0.72412,             0.66296,             0.34969,                   0,                   0,                   0,            0.008548,            0.008548,            0.008548
                  46,              2.1621,              1.7955,              1.8771,             0.71795,              0.7198,             0.71895,             0.35902,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  47,              2.1362,               1.765,              1.8409,             0.71398,             0.77039,             0.76551,             0.38426,                   0,                   0,                   0,            0.008482,            0.008482,            0.008482
                  48,              2.1706,              1.7802,              1.8648,             0.77122,             0.74941,             0.77236,             0.40293,                   0,                   0,                   0,            0.008449,            0.008449,            0.008449
                  49,              2.1659,              1.7713,              1.8377,               0.676,             0.75039,             0.73335,             0.38777,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  50,              2.1084,              1.7065,              1.8266,              0.7271,             0.70018,             0.73734,             0.38558,                   0,                   0,                   0,            0.008383,            0.008383,            0.008383
                  51,              2.0999,              1.7069,              1.8092,             0.76704,             0.78294,             0.76441,             0.39151,                   0,                   0,                   0,             0.00835,             0.00835,             0.00835
                  52,              2.1175,               1.737,              1.8194,             0.73778,              0.8019,             0.73448,             0.38243,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  53,              2.1252,              1.6846,              1.8319,             0.70863,             0.74731,             0.69075,             0.37047,                   0,                   0,                   0,            0.008284,            0.008284,            0.008284
                  54,              2.1198,              1.7122,              1.8689,             0.75053,             0.73685,             0.75787,             0.39446,                   0,                   0,                   0,            0.008251,            0.008251,            0.008251
                  55,              2.1317,              1.7331,              1.8035,             0.74926,             0.77216,             0.76576,             0.38844,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  56,              2.0862,              1.7224,              1.7769,             0.81336,             0.67824,             0.73713,             0.37192,                   0,                   0,                   0,            0.008185,            0.008185,            0.008185
                  57,              2.0934,              1.6922,              1.8303,             0.72586,             0.74205,             0.71934,             0.36296,                   0,                   0,                   0,            0.008152,            0.008152,            0.008152
                  58,               2.093,              1.7304,              1.8259,             0.80758,             0.81255,             0.82941,             0.40581,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  59,              2.1169,              1.6787,              1.8158,              0.8069,             0.75633,             0.79673,              0.4057,                   0,                   0,                   0,            0.008086,            0.008086,            0.008086
                  60,              2.0652,               1.668,              1.8189,             0.71412,             0.73745,             0.73848,              0.3866,                   0,                   0,                   0,            0.008053,            0.008053,            0.008053
                  61,              2.0775,              1.6608,              1.8331,             0.77946,             0.77332,             0.79442,              0.4054,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  62,              2.1278,               1.666,              1.8053,             0.77803,              0.6751,             0.75196,             0.35751,                   0,                   0,                   0,            0.007987,            0.007987,            0.007987
                  63,               2.064,              1.6537,              1.7855,             0.75862,              0.7212,             0.75232,             0.37332,                   0,                   0,                   0,            0.007954,            0.007954,            0.007954
                  64,              1.9999,              1.6041,               1.772,             0.74046,             0.78451,             0.78229,             0.39754,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  65,              2.0742,              1.6594,              1.8426,             0.84913,             0.75961,             0.80649,             0.40219,                   0,                   0,                   0,            0.007888,            0.007888,            0.007888
